param_name,fisher_value,dataset
model.layers.9.mlp.gate_proj.weight,0.0021306858477601054,gsm8k
model.layers.14.mlp.down_proj.weight,0.002129338113718404,gsm8k
model.layers.15.mlp.down_proj.weight,0.0021146245924986338,gsm8k
model.layers.14.mlp.up_proj.weight,0.002043445745584904,gsm8k
model.layers.15.mlp.up_proj.weight,0.002039112091097195,gsm8k
model.layers.10.mlp.gate_proj.weight,0.0020341688552131623,gsm8k
model.layers.13.self_attn.q_proj.weight,0.002028698259664452,gsm8k
model.layers.11.mlp.gate_proj.weight,0.002019990784295563,gsm8k
model.layers.8.self_attn.q_proj.weight,0.001968812650450976,gsm8k
model.layers.5.self_attn.q_proj.weight,0.0019626565454776332,gsm8k
model.layers.18.mlp.gate_proj.weight,0.0019534627584410678,gsm8k
model.layers.12.mlp.gate_proj.weight,0.0019251678781226171,gsm8k
model.layers.20.mlp.up_proj.weight,0.0019106401012625913,gsm8k
model.layers.13.mlp.up_proj.weight,0.001903437730713146,gsm8k
model.layers.14.mlp.gate_proj.weight,0.001896966717746788,gsm8k
model.layers.13.mlp.gate_proj.weight,0.0018419564876997658,gsm8k
model.layers.17.mlp.gate_proj.weight,0.0018398657747790519,gsm8k
model.layers.1.self_attn.k_proj.weight,0.001813303449656208,gsm8k
model.layers.16.mlp.gate_proj.weight,0.001799190774060359,gsm8k
model.layers.20.mlp.gate_proj.weight,0.0017868636138397658,gsm8k
model.layers.15.mlp.gate_proj.weight,0.0017155167096613393,gsm8k
model.layers.3.self_attn.q_proj.weight,0.0015112182412243176,gsm8k
model.layers.6.self_attn.q_proj.weight,0.0014247373886367616,gsm8k
model.layers.4.self_attn.q_proj.weight,0.0012572090579775856,gsm8k
model.layers.7.self_attn.q_proj.weight,0.0011264511021333117,gsm8k
model.layers.0.mlp.up_proj.weight,0.0011230772583985527,gsm8k
model.layers.0.mlp.gate_proj.weight,0.0009214758097186859,gsm8k
model.layers.2.self_attn.q_proj.weight,0.000899091606508288,gsm8k
model.layers.0.self_attn.q_proj.weight,0.0007700295325700305,gsm8k
model.layers.1.self_attn.q_proj.weight,0.000262425597602108,gsm8k
model.layers.0.input_layernorm.weight,49.49364208367964,wikitext
model.layers.0.self_attn.v_proj.weight,24.728789136589814,wikitext
model.layers.0.post_attention_layernorm.weight,6.974240115222831,wikitext
model.layers.1.input_layernorm.weight,2.3732545614863434,wikitext
model.layers.3.input_layernorm.weight,1.033263716424699,wikitext
model.layers.4.post_attention_layernorm.weight,0.798713285922228,wikitext
model.layers.7.post_attention_layernorm.weight,0.7280569807626307,wikitext
model.layers.6.post_attention_layernorm.weight,0.7070823094594137,wikitext
model.layers.4.input_layernorm.weight,0.7055312874144875,wikitext
model.layers.2.input_layernorm.weight,0.6200845254425076,wikitext
model.layers.1.self_attn.v_proj.weight,0.5978943214625664,wikitext
model.layers.8.post_attention_layernorm.weight,0.5351765298546525,wikitext
model.layers.9.post_attention_layernorm.weight,0.5234784871572629,wikitext
model.layers.5.input_layernorm.weight,0.5159838151909449,wikitext
model.layers.11.post_attention_layernorm.weight,0.5153512451603698,wikitext
model.layers.25.input_layernorm.weight,0.48258339291472413,wikitext
model.layers.13.post_attention_layernorm.weight,0.4794320764873798,wikitext
model.layers.10.post_attention_layernorm.weight,0.46628663075292326,wikitext
model.layers.16.post_attention_layernorm.weight,0.4264694196851148,wikitext
model.layers.3.post_attention_layernorm.weight,0.4214381691175125,wikitext
model.layers.2.post_attention_layernorm.weight,0.41759177765925415,wikitext
model.layers.12.post_attention_layernorm.weight,0.41362429000340245,wikitext
model.layers.15.post_attention_layernorm.weight,0.3766260531968631,wikitext
model.layers.14.post_attention_layernorm.weight,0.3735129610237588,wikitext
model.layers.19.post_attention_layernorm.weight,0.36856213886009453,wikitext
model.layers.0.self_attn.o_proj.weight,0.3547951105501852,wikitext
model.layers.1.post_attention_layernorm.weight,0.3409550871947431,wikitext
model.layers.7.input_layernorm.weight,0.3282923401153918,wikitext
model.layers.18.post_attention_layernorm.weight,0.3205385474963502,wikitext
model.layers.6.input_layernorm.weight,0.3107299267988613,wikitext
model.layers.3.self_attn.v_proj.weight,0.29263456156816875,wikitext
model.layers.5.post_attention_layernorm.weight,0.26991236893081805,wikitext
model.layers.17.post_attention_layernorm.weight,0.2658543539364473,wikitext
model.layers.2.self_attn.v_proj.weight,0.26560783485668554,wikitext
model.layers.25.self_attn.k_proj.weight,0.2502207890805342,wikitext
model.layers.27.input_layernorm.weight,0.22202982816058162,wikitext
model.layers.17.input_layernorm.weight,0.21298419264773352,wikitext
model.layers.22.post_attention_layernorm.weight,0.21114318964828271,wikitext
model.layers.13.input_layernorm.weight,0.20648732356312394,wikitext
model.layers.21.input_layernorm.weight,0.2006458531741373,wikitext
model.layers.20.post_attention_layernorm.weight,0.1961094430917001,wikitext
model.layers.11.input_layernorm.weight,0.18538645591615932,wikitext
model.layers.9.input_layernorm.weight,0.17975773922262306,wikitext
model.layers.27.post_attention_layernorm.weight,0.1790368235039447,wikitext
model.layers.26.post_attention_layernorm.weight,0.17734805200658835,wikitext
model.layers.8.input_layernorm.weight,0.1771100537092328,wikitext
model.layers.10.input_layernorm.weight,0.17615468229208395,wikitext
model.layers.4.self_attn.v_proj.weight,0.17013022096458977,wikitext
model.layers.21.post_attention_layernorm.weight,0.16137419631680436,wikitext
model.layers.27.self_attn.k_proj.weight,0.14946706807889618,wikitext
model.layers.15.input_layernorm.weight,0.14127855774889517,wikitext
model.layers.6.self_attn.v_proj.weight,0.1371750438872065,wikitext
model.layers.18.input_layernorm.weight,0.13499460363588392,wikitext
model.layers.5.self_attn.v_proj.weight,0.13139379794786996,wikitext
model.layers.23.post_attention_layernorm.weight,0.13071016232303614,wikitext
model.layers.20.input_layernorm.weight,0.12493328994363158,wikitext
model.layers.24.post_attention_layernorm.weight,0.1217118368622323,wikitext
model.layers.7.self_attn.v_proj.weight,0.11890583626518492,wikitext
model.norm.weight,0.1134669623922188,wikitext
model.layers.12.input_layernorm.weight,0.11228713793813465,wikitext
model.layers.19.input_layernorm.weight,0.1075669204165024,wikitext
model.layers.19.self_attn.v_proj.weight,0.10408710156237551,wikitext
model.layers.22.input_layernorm.weight,0.0940092645344824,wikitext
model.embed_tokens.weight,0.09263761652042983,wikitext
model.layers.11.self_attn.v_proj.weight,0.09038099277252816,wikitext
model.layers.25.post_attention_layernorm.weight,0.08593333916845343,wikitext
model.layers.16.input_layernorm.weight,0.08488817456312366,wikitext
model.layers.14.input_layernorm.weight,0.08111632692771309,wikitext
model.layers.15.self_attn.v_proj.weight,0.07854761878237089,wikitext
model.layers.3.self_attn.k_proj.weight,0.07749472727967562,wikitext
model.layers.5.self_attn.k_proj.weight,0.07632181053092306,wikitext
model.layers.10.self_attn.v_proj.weight,0.0735615203435979,wikitext
model.layers.8.self_attn.v_proj.weight,0.07316322951191978,wikitext
model.layers.26.self_attn.k_proj.weight,0.0710086611566112,wikitext
model.layers.13.self_attn.v_proj.weight,0.06829999126542437,wikitext
model.layers.14.self_attn.v_proj.weight,0.06674178458706592,wikitext
model.layers.9.self_attn.v_proj.weight,0.06374774593647696,wikitext
model.layers.17.self_attn.v_proj.weight,0.0612206958655103,wikitext
model.layers.24.input_layernorm.weight,0.05810314051359455,wikitext
model.layers.2.mlp.down_proj.weight,0.05426245461421786,wikitext
model.layers.17.self_attn.k_proj.weight,0.0533970200309947,wikitext
model.layers.4.self_attn.k_proj.weight,0.05255095965064053,wikitext
model.layers.6.self_attn.k_proj.weight,0.051358532261322885,wikitext
model.layers.21.self_attn.v_proj.weight,0.051132687309291214,wikitext
model.layers.23.input_layernorm.weight,0.050812720618826766,wikitext
model.layers.9.self_attn.k_proj.weight,0.04922615451111293,wikitext
model.layers.1.self_attn.o_proj.weight,0.04608389146596892,wikitext
model.layers.18.self_attn.v_proj.weight,0.044502522234324715,wikitext
model.layers.26.input_layernorm.weight,0.0433643297966834,wikitext
model.layers.1.mlp.up_proj.weight,0.04299667349217392,wikitext
model.layers.12.self_attn.v_proj.weight,0.0423894197692789,wikitext
model.layers.0.self_attn.k_proj.weight,0.039691989299778165,wikitext
model.layers.20.self_attn.v_proj.weight,0.03910896615373834,wikitext
model.layers.19.self_attn.k_proj.weight,0.038179022434784805,wikitext
model.layers.13.self_attn.k_proj.weight,0.03732074168510735,wikitext
model.layers.2.self_attn.k_proj.weight,0.03711952326769582,wikitext
model.layers.16.self_attn.v_proj.weight,0.03669957181379383,wikitext
model.layers.11.self_attn.k_proj.weight,0.03436941367347875,wikitext
model.layers.15.self_attn.k_proj.weight,0.03250741430830809,wikitext
model.layers.8.self_attn.k_proj.weight,0.032380724478495417,wikitext
model.layers.23.self_attn.k_proj.weight,0.030752838443504515,wikitext
model.layers.23.self_attn.v_proj.weight,0.030702096154830844,wikitext
model.layers.21.self_attn.k_proj.weight,0.03003750071131132,wikitext
model.layers.1.mlp.gate_proj.weight,0.02816697125066033,wikitext
model.layers.10.self_attn.k_proj.weight,0.028017231332796655,wikitext
model.layers.22.self_attn.k_proj.weight,0.02715716935108503,wikitext
model.layers.25.self_attn.v_proj.weight,0.026834427871714677,wikitext
model.layers.22.self_attn.v_proj.weight,0.02628535460614027,wikitext
model.layers.14.self_attn.k_proj.weight,0.025635053251752044,wikitext
model.layers.18.self_attn.k_proj.weight,0.02537790493806824,wikitext
model.layers.1.mlp.down_proj.weight,0.02511938860667821,wikitext
model.layers.20.self_attn.k_proj.weight,0.024722467252862163,wikitext
model.layers.2.mlp.up_proj.weight,0.023162559397860605,wikitext
model.layers.27.self_attn.v_proj.weight,0.022812401127036235,wikitext
model.layers.12.self_attn.k_proj.weight,0.022559460727469133,wikitext
model.layers.3.self_attn.o_proj.weight,0.022420072893813387,wikitext
model.layers.7.self_attn.k_proj.weight,0.021701031406488863,wikitext
model.layers.24.self_attn.k_proj.weight,0.021439100519652737,wikitext
model.layers.2.self_attn.o_proj.weight,0.02098852236925571,wikitext
